words,cluster,x,y
guitar,-1,-0.8936813688088276,3.1704172592306943
bass,-1,-0.9239285550091382,3.2189406256851867
piano,-1,-1.441103319133242,2.892908071339793
drums,-1,-0.8293234234017886,3.2062454070486317
string,-1,-0.8345331822469102,2.635595966383077
keyboards,-1,-0.8138745350996357,3.2083318550395665
percussion,-1,-0.9522977757435452,3.1447216194794625
violin,-1,-1.4061259276080165,2.963061709330016
horn,-1,-0.8865198773350206,3.10675217493418
saxophone,-1,-1.0928036818219924,3.200521754691275
tenor,-1,-1.6714140666198434,3.151036749878524
flute,-1,-1.276516792815,2.992825327996538
viola,-1,-1.435993704650835,3.0455479639981013
trumpet,-1,-1.1076414618127988,3.133709980905913
cello,-1,-1.3768491267093002,2.983862777433524
clarinet,-1,-1.3787619334089358,3.013891011266601
baritone,-1,-1.7112980691003556,3.1549538667733623
synthesizer,-1,-0.8164287803253429,3.046160000371477
trombone,-1,-1.1246330260289492,3.1643596848390154
harp,-1,-1.1883564010646923,2.986987721332544
dog,-1,-0.3853629743999445,1.947592932837928
cat,-1,-0.3882026858856212,1.9591938643147755
dragon,-1,-0.6568751557657971,0.9386313401602616
monster,-,-0.4987915373554163,0.6559143252348633
mouse,-1,-0.2969356040701934,1.9887536057644144
snake,-1,-0.23409374842152414,2.071663294719132
cats,-1,-0.5769003663435216,2.020751893161858
pet,-1,-0.3348887553916564,1.9728256383468965
elephant,-1,-0.3235944375502924,2.201586875298918
monkey,-1,-0.34825247673321824,1.9187116848256929
rat,-1,-0.2694727817752105,2.008594983899349
rabbit,-1,-0.3333300425062544,2.045657527226924
pig,-1,-0.20183794319447249,1.980275434482467
doll,-1,-0.4772052492504713,1.8118275807256372
