words,x,y
guitar,2.7210188933390085,1.8564127150706664
bass,2.7753655870958864,1.874184778620219
piano,2.9624408938919915,1.292145439119058
drums,2.694692640350495,1.9252060993213647
string,2.332230005471458,1.4844241078157212
keyboards,2.6841900197998463,1.936726358717765
percussion,2.749450751810742,1.7990735618853881
violin,2.980679503217353,1.368383906909597
horn,2.6746451276421737,1.8122086001750286
saxophone,2.8929902025398135,1.7516184165692212
tenor,3.3047511727797856,1.3421167114637702
flute,2.900439886033042,1.474431088164148
viola,3.0565454405665164,1.412434172116296
trumpet,2.861459452546182,1.6908748190774607
cello,2.9715950149621793,1.4031299509758135
clarinet,2.9923446444102915,1.4249200068355439
baritone,3.3378400812596807,1.3195069437904294
synthesizer,2.5820054540504533,1.8107718068438092
trombone,2.8941669300246318,1.7034580826722152
harp,2.8291109920912345,1.526570528266336
dog,1.5460969295520202,1.245474663936778
cat,1.5557235520547121,1.2525438726367
dragon,1.1062981337819462,0.2976880954690191
monster,0.8035642152627385,0.18248603161575078
mouse,1.5047444530152259,1.3338125012629767
snake,1.509814912772674,1.4377230675292823
cats,1.739902406856831,1.1785549885424644
pet,1.5236092535534809,1.2972302495289019
elephant,1.6618560072517905,1.4798421336963885
monkey,1.499102760516422,1.2471668815557568
rat,1.4964341983167677,1.3666579965636423
rabbit,1.569185152174546,1.354061148594236
pig,1.4264020316448367,1.3883827267173772
doll,1.5293144683388555,1.082423802916289
